name,release_year,certificate,runtime,genre,director,gross,actors,production_house
Citizen Kane,1941,Approved,119,_Mystery,Orson Welles,NA,_Joseph Cotten_Orson Welles,RKO Radio Pictures
The Godfather,1972,R,175,_Crime,Francis Ford Coppola,NA,_Al Pacino_Marlon Brando,Paramount Pictures
Rear Window,1954,TV-G,112,_Thriller,Alfred Hitchcock,NA,_Frank Cady_Georgine Darcy_Grace Kelly_James Stewart_Judith Evelyn_Raymond Burr_Ross Bagdasarian_Sara Berner_Thelma Ritter_Wendell Corey,Paramount Pictures
Casablanca,1943,TV-PG,102,_War,Michael Curtiz,NA,_Humphrey Bogart_Ingrid Bergman,Warner Bros.
Boyhood,2014,R,165,_Drama,Richard Linklater,NA,_Bonnie Cross_Elijah Smith_Ellar Coltrane_Ethan Hawke_Libby Villari_Lorelei Linklater_Marco Perella_Patricia Arquette_Steven Chester Prince,IFC Films
Three Colors: Red,1994,R,99,_Romance,Krzysztof Kieslowski,NA,_Irène Jacob_Jean-Louis Trintignant,Miramax
Singin' in the Rain,1952,G,103,_Musical,_Gene Kelly_Stanley Donen,NA,_Cyd Charisse_Dawn Addams_Debbie Reynolds_Donald O'Connor_Douglas Fowley_Gene Kelly_Jean Hagen_John Albright_Millard Mitchell_Rita Moreno,Metro-Goldwyn-Mayer (MGM)
The Treasure of the Sierra Madre,1948,TV-PG,126,_Western,John Huston,NA,_Alfonso Bedoya_Arturo Soto Rangel_Barton MacLane_Bruce Bennett_Humphrey Bogart_José Torvay_Manuel Dondé_Margarito Luna_Tim Holt_Walter Huston,Warner Bros.
Moonlight,2016,NotRated,111,_Drama,Barry Jenkins,NA,_Alex R. Hibbert_Ashton Sanders_Duan Sanderson_Herman 'Caheei McGloun_Jaden Piner_Janelle Monáe_Mahershala Ali_Naomie Harris_Shariff Earp,A24
Pan's Labyrinth,2006,R,118,_War,Guillermo del Toro,NA,_Ariadna Gil_Ivana Baquero_Sergi López,Picturehouse
North by Northwest,1959,TV-G,136,_Thriller,Alfred Hitchcock,NA,_Adam Williams_Cary Grant_Edward Platt_Eva Marie Saint_James Mason_Jessie Royce Landis_Josephine Hutchinson_Leo G. Carroll_Martin Landau_Philip Ober,Metro-Goldwyn-Mayer (MGM)
All About Eve,1950,TV-PG,138,_Drama,Joseph L. Mankiewicz,NA,_Anne Baxter_Barbara Bates_Bette Davis_Celeste Holm_Gary Merrill_George Sanders_Gregory Ratoff_Hugh Marlowe_Marilyn Monroe_Thelma Ritter,Twentieth Century Fox
Hoop Dreams,1994,PG-13,170,_Documentary,Steve James,NA,_Arthur Agee_William Gates,Fine Line Features
My Left Foot,1990,R,103,_Drama,Jim Sheridan,NA,_Brenda Fricker_Daniel Day-Lewis,Miramax
Gone with the Wind,1940,TV-PG,238,_War,_George Cukor_Sam Wood_Victor Fleming,NA,Vivien Leigh,Metro-Goldwyn-Mayer (MGM)
"4 Months, 3 Weeks and 2 Days",2008,NotRated,113,_Drama,Cristian Mungiu,NA,_Anamaria Marinca_Vlad Ivanov,IFC Films
Some Like It Hot,1959,Approved,121,_Romance,Billy Wilder,NA,_Billy Gray_George E. Stone_George Raft_Jack Lemmon_Joan Shawlee_Joe E. Brown_Marilyn Monroe_Nehemiah Persoff_Pat O'Brien_Tony Curtis,United Artists
Psycho,1960,M,109,_Horror,Alfred Hitchcock,NA,_Anthony Perkins_Janet Leigh,Paramount Pictures
American Graffiti,1973,PG,110,_Comedy,George Lucas,NA,_Bo Hopkins_Candy Clark_Charles Martin Smith_Cindy Williams_Mackenzie Phillips_Manuel Padilla Jr._Paul Le Mat_Richard Dreyfuss_Ron Howard_Wolfman Jack,Universal Pictures
Ran,1985,R,162,_War,Akira Kurosawa,NA,_Akira Terao_Daisuke Ryû_Jinpachi Nezu_Tatsuya Nakadai,Orion Classics
12 Years a Slave,2013,R,134,_History,Steve McQueen,NA,_Alfre Woodard_Benedict Cumberbatch_Brad Pitt_Chiwetel Ejiofor_Garret Dillahunt_Michael Fassbender_Michael K. Williams_Paul Dano_Paul Giamatti_Sarah Paulson,Fox Searchlight Pictures
12 Angry Men,1957,TV-PG,96,_Crime,Sidney Lumet,NA,_Henry Fonda_Lee J. Cobb,United Artists
Manchester by the Sea,2016,R,137,_Drama,Kenneth Lonergan,NA,_Casey Affleck_Kyle Chandler_Lucas Hedges_Michelle Williams,Roadside Attractions
Rosemary's Baby,1968,Approved,137,_Horror,Roman Polanski,NA,_John Cassavetes_Mia Farrow,Paramount Pictures
The Maltese Falcon,1941,TV-PG,100,_Film-Noir,John Huston,NA,_Barton MacLane_Elisha Cook Jr._Gladys George_Humphrey Bogart_Jerome Cowan_Lee Patrick_Mary Astor_Peter Lorre_Sydney Greenstreet_Ward Bond,Warner Bros.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,GP,95,_Thriller,Stanley Kubrick,NA,_George C. Scott_Peter Sellers,Columbia Pictures
Ratatouille,2007,G,111,_Family,Brad Bird,NA,_Brad Garrett_Lou Romano_Patton Oswalt,Buena Vista Pictures
Gravity,2013,PG-13,91,_Thriller,Alfonso Cuarón,NA,_George Clooney_Sandra Bullock,Warner Bros. Pictures
Spirited Away,2002,PG,125,_Family,Hayao Miyazaki,NA,Miyu Irino,Walt Disney Studios
Beauty and the Beast,1991,G,84,_Musical,_Gary Trousdale_Kirk Wise,NA,_Paige O'Hara_Robby Benson,Buena Vista Pictures
Carol,2015,R,118,_Romance,Todd Haynes,NA,_Cate Blanchett_Cory Michael Smith_Jake Lacy_John Magaro_Kyle Chandler_Rooney Mara_Sarah Paulson,"Weinstein Company, The"
Toy Story,1995,TV-G,81,_Family,John Lasseter,NA,_Tim Allen_Tom Hanks,Buena Vista Pictures
The Grapes of Wrath,1940,Approved,129,_History,John Ford,NA,_Charley Grapewin_Dorris Bowdon_Eddie Quillan_Henry Fonda_Jane Darwell_John Carradine_John Qualen_O.Z. Whitehead_Russell Simpson_Zeffie Tilbury,Twentieth Century Fox
The Social Network,2010,PG-13,120,_Comedy,David Fincher,NA,_Andrew Garfield_Jesse Eisenberg_Justin Timberlake,Columbia Pictures
Faces Places,2017,NotRated,89,_Documentary,_Agnès Varda_JR,NA,_Agnès Varda_Amaury Bossy_Claude Ferchal_Claude Flaert_J.R._Jean-Luc Godard_Jean-Paul Beaujon_Jeannine Carpentier_JR_Laurent Levesque_Marie Douvet_Vincent Gils_Yves Boulen,Cohen Media Group
I Am Not Your Negro,2016,PG-13,93,_Documentary,Raoul Peck,NA,None,Magnolia Pictures
Double Indemnity,1944,Passed,107,_Film-Noir,Billy Wilder,NA,_Barbara Stanwyck_Byron Barr_Edward G. Robinson_Fortunio Bonanova_Fred MacMurray_Jean Heather_John Philliber_Porter Hall_Richard Gaines_Tom Powers,Paramount Pictures
Zero Dark Thirty,2012,R,157,_Thriller,Kathryn Bigelow,NA,_Chris Pratt_Édgar Ramírez_Jason Clarke_Jennifer Ehle_Jessica Chastain_Joel Edgerton_Mark Strong,Columbia Pictures
A Separation,2011,PG-13,123,_Drama,Asghar Farhadi,NA,_Leila Hatami_Peyman Moaadi_Sareh Bayat,Sony Pictures Classics
WALL-E,2008,G,98,_Family,Andrew Stanton,NA,_Ben Burtt_Elissa Knight_Jeff Garlin,Walt Disney Studios Motion Pictures
Before Midnight,2013,R,109,_Romance,Richard Linklater,NA,_Ariane Labed_Athina Rachel Tsangari_Ethan Hawke_Julie Delpy_Seamus Davey-Fitzpatrick_Walter Lassally_Xenia Kalogeropoulou,Sony Pictures Classics
Dunkirk,2017,PG-13,106,_War,Christopher Nolan,NA,_Aneurin Barnard_Barry Keoghan_Damien Bonnard_Fionn Whitehead_Harry Styles_Jack Lowden_James Bloor_Lee Armstrong_Mark Rylance_Tom Glynn-Carney_Tom Hardy,Warner Bros.
The Man Who Shot Liberty Valance,1962,Approved,123,_Western,John Ford,NA,_Andy Devine_Edmond O'Brien_James Stewart_Jeanette Nolan_John Carradine_John Qualen_John Wayne_Ken Murray_Lee Marvin_Vera Miles,Paramount Pictures
45 Years,2015,NotRated,95,_Romance,Andrew Haigh,NA,_Charlotte Rampling_Tom Courtenay,Sundance Selects
The Manchurian Candidate,1962,Approved,126,_Thriller,John Frankenheimer,NA,_Frank Sinatra_Laurence Harvey,United Artists
Pulp Fiction,1994,R,154,_Crime,Quentin Tarantino,NA,_Bruce Willis_John Travolta_Samuel L. Jackson,Miramax Films
Killer of Sheep,2007,None,83,_Drama,Charles Burnett,NA,None,None
Mr. Turner,2014,R,150,_History,Mike Leigh,NA,_Amy Dawson_Dorothy Atkinson_Karl Johnson_Lesley Manville_Marion Bailey_Paul Jesson_Ruth Sheen_Sandy Foster_Timothy Spall,Sony Pictures Classics
The Hurt Locker,2009,R,131,_War,Kathryn Bigelow,NA,_Anthony Mackie_Brian Geraghty_Jeremy Renner,Summit Entertainment
Inside Out,2015,PG,94,_Family,_Pete Docter_Ronaldo Del Carmen,NA,_Amy Poehler_Bill Hader_Lewis Black_Mindy Kaling_Phyllis Smith,Walt Disney Studios Motion Pictures
Sideways,2004,R,126,_Romance,Alexander Payne,NA,_Paul Giamatti_Sandra Oh_Thomas Haden Church_Virginia Madsen,Fox Searchlight Pictures
Apocalypse Now,1979,R,153,_War,Francis Ford Coppola,NA,_Marlon Brando_Martin Sheen,United Artists
We Were Here,2011,NotRated,90,_Documentary,_Bill Weber_David Weissman,NA,None,Red Flag Releasing (RFR)
Lady Bird,2017,R,94,_Comedy,Greta Gerwig,NA,_Andy Buckley_Beanie Feldstein_Danielle Macdonald_Jake McDorman_Jordan Rodrigues_Kathryn Newton_Kristen Cloke_Laura Marano_Laurie Metcalf_Lois Smith_Lucas Hedges_Odeya Rush_Saoirse Ronan_Stephen Henderson_Timoth_Tracy Letts,A24
The Lord of the Rings: The Return of the King,2003,PG-13,201,_Fantasy,Peter Jackson,NA,_Andy Serkis_Orlando Bloom,New Line Cinema
Carlos,2010,NotRated,325,_Crime,Olivier Assayas,NA,None,IFC Films
Maborosi,1997,NotRated,110,_Drama,Hirokazu Koreeda,NA,None,Milestone Film & Video
Amour,2012,PG-13,127,_Romance,Michael Haneke,NA,_Emmanuelle Riva_Isabelle Huppert_Jean-Louis Trintignant,Sony Pictures Classics
The Servant,1964,Unrated,116,_Drama,Joseph Losey,NA,_Dirk Bogarde_James Fox_Sarah Miles_Wendy Craig,Landau Releasing Organization (LRO)
Reversal of Fortune,1990,R,111,_Mystery,Barbet Schroeder,NA,_Glenn Close_Jeremy Irons,Warner Bros. Pictures
"Crouching Tiger, Hidden Dragon",2000,PG-13,120,_Romance,Ang Lee,NA,_Michelle Yeoh_Yun-Fat Chow_Ziyi Zhang,Sony Pictures Classics
Toni Erdmann,2016,R,162,_Comedy,Maren Ade,NA,_Peter Simonischek_Sandra Hüller,Sony Pictures Classics
Spotlight,2015,R,128,_Thriller,Thomas McCarthy,NA,_John Slattery_Liev Schreiber_Mark Ruffalo_Michael Keaton_Rachel McAdams_Stanley Tucci,Open Road Films (II)
Schindler's List,1993,R,195,_War,Steven Spielberg,NA,_Liam Neeson_Ralph Fiennes,Universal Pictures
Call Me by Your Name,2017,R,132,_Romance,Luca Guadagnino,NA,_Amira Casar_Antonio Rimoldi_Armie Hammer_Elena Bucci_Esther Garrel_Marco Sgrosso_Michael Stuhlbarg_Timoth_Vanda Capriolo_Victoire Du Bois,Sony Pictures Classics
Yi Yi,2000,NotRated,173,_Music,Edward Yang,NA,Nien-Jen Wu,WinStar Cinema
La La Land,2016,PG-13,128,_Musical,Damien Chazelle,NA,_Emma Stone_J.K. Simmons_Rosemarie DeWitt_Ryan Gosling,Lionsgate
Inside Llewyn Davis,2013,R,104,_Music,_Ethan Coen_Joel Coen,NA,_Carey Mulligan_Garrett Hedlund_John Goodman_Justin Timberlake_Oscar Isaac,CBS Films
Sherpa,2015,NotRated,96,_Documentary,Jennifer Peedom,NA,None,
There Will Be Blood,2007,R,158,_Thriller,Paul Thomas Anderson,NA,Daniel Day-Lewis,Paramount Vantage
Sita Sings the Blues,2009,NotRated,82,_Musical,Nina Paley,NA,None,Gkids
The Decline of Western Civilization,1981,NotRated,100,_Documentary,Penelope Spheeris,NA,_Alice Bag_Alice Bag Band_Black Flag_Circle Jerks_Claude Bessy_Darby Crash_Dinah Cancer_Don Bolles_Exene Cervenka_Philo Cramer,Nu-Image
Days of Heaven,1978,PG,94,_Romance,Terrence Malick,NA,_Brooke Adams_Richard Gere,Paramount Pictures
Crumb,1995,R,119,_Documentary,Terry Zwigoff,NA,Robert Crumb,Sony Pictures Classics
One More Time with Feeling,2016,NotRated,112,_Documentary,Andrew Dominik,NA,None,
The Diving Bell and the Butterfly,2007,PG-13,112,_Drama,Julian Schnabel,NA,_Emmanuelle Seigner_Marie-Josée Croze_Mathieu Amalric,Miramax Films
The Class,2008,PG-13,128,_Drama,Laurent Cantet,NA,François Bégaudeau,Sony Pictures Classics
Raging Bull,1980,R,None,_Sport,Martin Scorsese,NA,_Cathy Moriarty_Joe Pesci_Robert De Niro,United Artists
Platoon,1987,R,120,_War,Oliver Stone,NA,_Tom Berenger_Willem Dafoe,Orion Pictures
35 Shots of Rum,2009,NotRated,100,_Drama,Claire Denis,NA,None,Cinema Guild
Brother's Keeper,1992,NotRated,104,_Documentary,_Bruce Sinofsky_Joe Berlinger,NA,_Dave Goff_Delbert Ward_Harry Thurston_John Teeple_Joseph F. Loszynski_Ken Elmer_Lyman Ward_Ralph A. Cognetti_Roscoe Ward_Walt Geisler,Creative Thinking International Ltd.
The Florida Project,2017,NotRated,111,_Drama,Sean Baker,NA,_Aiden Malik_Bria Vinaite_Brooklynn Prince_Caleb Landry Jones_Christopher Rivera_Edward Pagan_Jasineia Ramos_Jason Blackwater_Josie Olivo_Karren Karagulian_Macon Blair_Patti Wiley_Sandy Kane_Valeria Cotto_Willem Dafoe,A24
Timbuktu,2015,NotRated,97,_Drama,Abderrahmane Sissako,NA,_Abel Jafri_Ibrahim Ahmed_Layla Walet Mohamed_Mehdi A.G. Mohamed_Toulou Kiki,Cohen Media Group
Apocalypse Now Redux,2001,R,153,_War,Francis Ford Coppola,NA,_Marlon Brando_Martin Sheen,Miramax
Annie Hall,1977,PG,93,_Romance,Woody Allen,NA,_Diane Keaton_Woody Allen,United Artists
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,_Fantasy,Peter Jackson,NA,_Andy Serkis_Elijah Wood,New Line Cinema
Foxtrot,2017,NotRated,108,_Drama,Samuel Maoz,NA,_Aryeh Cherner_Dekel Adin_Gefen Barkai_Lior Ashkenazi_Rami Buzaglo_Ran Buxenbaum_Sarah Adler_Shaul Amir_Shira Haas_Yehuda Almagor_Yonaton Shiray,Filmcoopi Zürich
Leviathan,2014,NotRated,140,_Drama,Andrei Zvyagintsev,NA,_Aleksey Serebryakov_Roman Madyanov_Vladimir Vdovichenkov_Yelena Lyadova,Sony Pictures Classics
The Best Years of Our Lives,1946,Passed,170,_War,William Wyler,NA,_Cathy O'Donnell_Dana Andrews_Fredric March_Gladys George_Harold Russell_Hoagy Carmichael_Myrna Loy_Roman Bohnen_Teresa Wright_Virginia Mayo,RKO Radio Pictures
Werckmeister Harmonies,2001,None,145,_Crime,_Ágnes Hranitzky_Béla Tarr,NA,_Lars Rudolph_Peter Fitz,Pierre Grise Distribution
Toy Story 3,2010,G,103,_Family,Lee Unkrich,NA,_Tim Allen_Tom Hanks,Walt Disney Studios Motion Pictures
The Look of Silence,2015,PG-13,103,_Documentary,Joshua Oppenheimer,NA,None,Drafthouse Films
Tower,2016,NotRated,96,_Documentary,Keith Maitland,NA,None,Kino Lorber
Moolaadé,2004,Unrated,124,_Drama,Ousmane Sembene,NA,None,New Yorker Films
Atanarjuat: The Fast Runner,2002,R,172,_Fantasy,Zacharias Kunuk,NA,_Natar Ungalaaq_Sylvia Ivalu,Lot 47 Films
After Life,1999,NotRated,118,_Fantasy,Hirokazu Koreeda,NA,None,Artistic License
Cool Hand Luke,1967,PG,126,_Crime,Stuart Rosenberg,NA,_Clifton James_George Kennedy_J.D. Cannon_Jo Van Fleet_Lou Antonio_Luke Askew_Morgan Woodward_Paul Newman_Robert Drivas_Strother Martin,Warner Brothers/Seven Arts
The African Queen,1952,Passed,105,_War,John Huston,NA,_Errol John_Gerald Onn_Humphrey Bogart_Katharine Hepburn_Peter Bull_Peter Swanwick_Richard Marner_Robert Morley_Theodore Bikel_Walter Gotell,United Artists
The Triplets of Belleville,2003,PG-13,78,_Animation,Sylvain Chomet,NA,_Jean-Claude Donda_Michel Robin_Michèle Caucheteux_Monica Viegas,Sony Pictures Classics
The Queen,2006,PG-13,103,_Drama,Stephen Frears,NA,_Helen Mirren_James Cromwell,Miramax Films
Breaking Away,1979,PG,101,_Romance,Peter Yates,NA,_Dennis Christopher_Dennis Quaid,Twentieth Century Fox Film Corporation
Young Mr. Lincoln,1939,Approved,100,_Drama,John Ford,NA,_Alice Brady_Arleen Whelan_Donald Meek_Eddie Collins_Eddie Quillan_Henry Fonda_Judith Dickens_Marjorie Weaver_Pauline Moore_Richard Cromwell,Twentieth Century Fox
Stories We Tell,2013,PG-13,108,_Documentary,Sarah Polley,NA,_Harry Gulkin_John Buchan_Susy Buchan,Roadside Attractions
Jafar Panahi's Taxi,2015,NotRated,82,_Comedy,Jafar Panahi,NA,None,Kino Lorber
Beau Travail,2000,NotRated,90,_Drama,Claire Denis,NA,_Denis Lavant_Grégoire Colin_Michel Subor,New Yorker Films
Do the Right Thing,1989,R,120,_Comedy,Spike Lee,NA,_Danny Aiello_Ossie Davis_Ruby Dee,Universal Pictures
Waltz with Bashir,2008,R,90,_Animation,Ari Folman,NA,_Ari Folman_Ron Ben-Yishai_Ronny Dayag,Sony Pictures Classics
EX LIBRIS: The New York Public Library,2017,NotRated,197,_Documentary,Frederick Wiseman,NA,None,Zipporah Films
Secrets & Lies,1996,R,136,_Comedy,Mike Leigh,NA,_Brenda Blethyn_Timothy Spall,20th Century Fox Home Entertainment
Patton,1970,M,172,_War,Franklin J. Schaffner,NA,_George C. Scott_Karl Malden,Twentieth Century Fox Film Corporation
No Country for Old Men,2007,R,122,_Western,_Ethan Coen_Joel Coen,NA,_Javier Bardem_Josh Brolin_Tommy Lee Jones,Miramax Films
The Gatekeepers,2013,PG-13,101,_Documentary,Dror Moreh,NA,_Ami Ayalon_Avi Dichter_Avraham Shalom_Carmi Gillon_Yaakov Peri_Yuval Diskin,Sony Pictures Classics
Nostalgia for the Light,2011,NotRated,90,_Documentary,Patricio Guzmán,NA,None,Icarus Films
Ida,2014,PG-13,82,_Drama,Pawel Pawlikowski,NA,_Agata Kulesza_Agata Trzebuchowska_Dawid Ogrodnik_Jerzy Trela,Music Box Films
After Hours,1985,R,97,_Comedy,Martin Scorsese,NA,_Griffin Dunne_Rosanna Arquette,"Geffen Company, The"
13th,2016,TV-MA,100,_Documentary,Ava DuVernay,NA,None,Netflix
The Crying Game,1992,R,112,_Crime,Neil Jordan,NA,_Forest Whitaker_Jaye Davidson_Stephen Rea,Miramax Films
Winter's Bone,2010,R,100,_Thriller,Debra Granik,NA,_Garret Dillahunt_Jennifer Lawrence_John Hawkes,Roadside Attractions
Gett: The Trial of Viviane Amsalem,2015,NotRated,115,_Drama,_Ronit Elkabetz_Shlomi Elkabetz,NA,None,Music Box Films
I Called Him Morgan,2017,NotRated,92,_Documentary,Kasper Collin,NA,None,Submarine Deluxe
Close Encounters of the Third Kind,1977,PG,135,_Drama,Steven Spielberg,NA,_François Truffaut_Richard Dreyfuss_Teri Garr,Columbia Pictures
L.A. Confidential,1997,TV-MA,138,_Crime,Curtis Hanson,NA,_Guy Pearce_Kevin Spacey_Kim Basinger_Russell Crowe,Warner Bros. Pictures
Bloody Sunday,2002,R,107,_War,Paul Greengrass,NA,_James Nesbitt_Nicholas Farrell_Tim Pigott-Smith,Paramount Classics
My Voyage to Italy,2001,PG-13,246,_Documentary,Martin Scorsese,NA,Martin Scorsese,Miramax Films
Her,2013,R,126,_Romance,Spike Jonze,NA,_Amy Adams_Chris Pratt_Joaquin Phoenix_Olivia Wilde_Rooney Mara_Samantha Morton_Scarlett Johansson,Warner Bros. Pictures
Badlands,1973,PG,94,_Crime,Terrence Malick,NA,_Martin Sheen_Sissy Spacek,Warner Bros. Pictures
Saving Private Ryan,1998,TV-MA,169,_War,Steven Spielberg,NA,_Matt Damon_Tom Hanks,DreamWorks Distribution
The Sweet Hereafter,1997,TV-MA,112,_Drama,Atom Egoyan,NA,_Ian Holm_Sarah Polley,Fine Line Features
Paths of the Soul,2016,NotRated,115,_Drama,Yang Zhang,NA,None,Icarus Films
It's Such a Beautiful Day,2012,NotRated,62,_Animation,Don Hertzfeldt,NA,None,Cinemad Presents
My Perestroika,2011,NotRated,88,_News,Robin Hessman,NA,None,Red Square Productions
Finding Nemo,2003,G,100,_Family,_Andrew Stanton_Lee Unkrich,NA,_Albert Brooks_Alexander Gould_Ellen DeGeneres,Buena Vista Pictures
This Is Not a Film,2012,NotRated,75,_Documentary,_Jafar Panahi_Mojtaba Mirtahmasb,NA,None,Palisades Tartan
Topsy-Turvy,1999,R,160,_Music,Mike Leigh,NA,_Allan Corduner_Jim Broadbent,October Films
King Kong,1933,Passed,100,_Horror,_Ernest B. Schoedsack_Merian C. Cooper,NA,_Bruce Cabot_Fay Wray_Frank Reicher_James Flavin_King Kong_Noble Johnson_Robert Armstrong_Sam Hardy_Steve Clemente_Walter Ackerman,RKO Radio Pictures
The Incredibles,2004,PG,115,_Family,Brad Bird,NA,_Craig T. Nelson_Holly Hunter_Jason Lee_Samuel L. Jackson,Buena Vista Pictures
Before Sunset,2004,R,80,_Romance,Richard Linklater,NA,_Ethan Hawke_Julie Delpy,Warner Independent Pictures (WIP)
Being John Malkovich,1999,R,112,_Romance,Spike Jonze,NA,_Cameron Diaz_Catherine Keener_John Cusack_John Malkovich,USA Films
A Prophet,2010,R,155,_Crime,Jacques Audiard,NA,Tahar Rahim,Sony Pictures Classics
Hard to Be a God,2015,NotRated,170,_Drama,Aleksei German,NA,None,Kino Lorber
Almost Famous,2000,Unrated,122,_Music,Cameron Crowe,NA,Billy Crudup,Sony Pictures Home Entertainment
Phantom Thread,2017,R,130,_Crime,Paul Thomas Anderson,NA,_Bern Collaco_Camilla Rutherford_Cedric Tylleman_Daniel Day-Lewis_Dave Simon_Dinah Nicholson_Elli Banks_Harriet Leitch_Ingrid Sophie Schram_Jack Gordon_Jane Perry_Jason Redshaw_Joan Brown_Julie Duck_Kelly Schembri_Lesley Manville_Maryanne Frost_Pip Phillips_Richard Graham_Sarah Lamesch_Sue Clark_Vicky Krieps,Focus Features
Big Men,2014,NotRated,99,_Documentary,Rachel Boynton,NA,None,Abramorama
American Splendor,2003,TV-MA,101,_Comedy,_Robert Pulcini_Shari Springer Berman,NA,_Harvey Pekar_Paul Giamatti_Shari Springer Berman,HBO Films
Hannah and Her Sisters,1986,PG-13,103,_Romance,Woody Allen,NA,_Barbara Hershey_Dianne Wiest_Mia Farrow_Michael Caine_Woody Allen,Orion Pictures Corporation
Gosford Park,2001,TV-MA,137,_Comedy,Robert Altman,NA,_Maggie Smith_Ryan Phillippe,USA Films
The Fits,2016,NotRated,72,_Drama,Anna Rose Holmer,NA,Royalty Hightower,Oscilloscope
United 93,2006,R,111,_Crime,Paul Greengrass,NA,_David Alan Basche_Liza Colón-Zayas,Universal Pictures
Mad Max: Fury Road,2015,R,120,_Thriller,George Miller,NA,_Charlize Theron_John Howard_Nathan Jones_Nicholas Hoult_Riley Keough_Tom Hardy_Zoë Kravitz,Warner Bros.
Downhill Racer,1969,PG,101,_Sport,Michael Ritchie,NA,_Camilla Sparv_Dabney Coleman_Gene Hackman_Jerry Dexter_Jim McMullan_Karl Michael Vogler_Kathleen Crowley_Kenneth Kirk_Oren Stevens_Robert Redford,Paramount Pictures
Capturing the Friedmans,2003,NotRated,107,_Documentary,Andrew Jarecki,NA,_Arnold Friedman_David Friedman_Elaine Friedman_Jesse Friedman,Magnolia Pictures
The Truman Show,1998,PG,103,_Drama,Peter Weir,NA,Jim Carrey,Paramount Pictures
American Hustle,2013,R,138,_Crime,David O. Russell,NA,_Alessandro Nivola_Amy Adams_Bradley Cooper_Christian Bale_Jennifer Lawrence_Jeremy Renner_Louis C.K._Robert De Niro,Columbia Pictures
Paterson,2016,R,118,_Romance,Jim Jarmusch,NA,_Adam Driver_Golshifteh Farahani,Bleecker Street Media
Star Wars: Episode IV - A New Hope,1977,PG,121,_Fantasy,George Lucas,NA,_Carrie Fisher_Harrison Ford_Mark Hamill,Twentieth Century Fox Film Corporation
Persepolis,2007,PG-13,96,_Animation,_Marjane Satrapi_Vincent Paronnaud,NA,_Catherine Deneuve_Chiara Mastroianni_Gena Rowlands,Sony Pictures Classics
The Act of Killing,2013,NotRated,115,_Documentary,_Anonymous_Christine Cynn_Joshua Oppenheimer,NA,Anwar Congo,Drafthouse Films
Lost in Translation,2003,R,102,_Romance,Sofia Coppola,NA,_Bill Murray_Giovanni Ribisi_Scarlett Johansson,Universal Home Entertainment
The Best of Youth,2005,R,180,_Romance,Marco Tullio Giordana,NA,_Alessio Boni_Jasmine Trinca_Luigi Lo Cascio,Miramax Films
Hereditary,2018,NotRated,126,_Horror,Ari Aster,NA,_Alex Wolff_Ann Dowd_Austin R. Grant_Gabriel Byrne_Gabriel Monroe Eckert_Jake Brown_Jarrod Phillips_John Forker_Mallory Bechtel_Marilyn Miller_Mark Blockovich_Milly Shapiro_Rachelle Hardy_Toni Collette_Zachary Arthur,A24
The Overnighters,2014,PG-13,102,_Documentary,Jesse Moss,NA,Jay Reinke,Drafthouse Films
The Lives of Others,2006,R,137,_Thriller,Florian Henckel von Donnersmarck,NA,_Martina Gedeck_Sebastian Koch_Ulrich Mühe,Sony Pictures Classics
4 Little Girls,1997,None,102,_Documentary,Spike Lee,NA,_Chris McNair_Fred Shuttlesworth_Howell Raines_Maxine McNair_Wamo Reed Robertson_Wyatt Tee Walker,HBO Documentary
House of Flying Daggers,2004,PG-13,119,_Romance,Yimou Zhang,NA,_Andy Lau_Takeshi Kaneshiro_Ziyi Zhang,Sony Pictures Classics
Columbus,2017,NotRated,100,_Romance,Kogonada,NA,_Alphaeus Green Jr._Caitlin Ewald_Erin Allegretti_Haley Lu Richardson_Jim Dougherty_John Cho_Michelle Forbes_Parker Posey_Rory Culkin_Wynn Reichert,
Searching for Bobby Fischer,1993,PG,109,_Drama,Steven Zaillian,NA,_Ben Kingsley_David Paymer_Hal Scardino_Joan Allen_Joe Mantegna_Laurence Fishburne_Max Pomeranc_Michael Nirenberg_Robert Stephens_Vasek Simek,Paramount Pictures
Assault on Precinct 13,1976,R,91,_Crime,John Carpenter,NA,_Austin Stoker_Darwin Joston_Laurie Zimmer,Turtle Releasing
Man on Wire,2008,PG-13,94,_Documentary,James Marsh,NA,Philippe Petit,Discovery Films
Howards End,1992,PG,140,_Romance,James Ivory,NA,_Anthony Hopkins_Emma Thompson,Sony Pictures Classics
Still Walking,2009,None,114,_Drama,Hirokazu Koreeda,NA,None,IFC Films
Gangs of Wasseypur,2015,R,None,_Crime,Anurag Kashyap,NA,None,Cinelicious Pics
The Last Detail,1973,R,104,_Comedy,Hal Ashby,NA,_Jack Nicholson_Randy Quaid,Columbia Pictures
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,84,_Comedy,Larry Charles,NA,_Ken Davitian_Sacha Baron Cohen,Twentieth Century Fox Film Corporation
Elle,2016,R,130,_Comedy,Paul Verhoeven,NA,_Anne Consigny_Charles Berling_Isabelle Huppert_Laurent Lafitte,Sony Pictures Classics
