name,release_year,certificate,runtime,genre,director,gross,actors,production_house
Hidden,2005,R,117,_Thriller,Michael Haneke,NA,_Daniel Auteuil_Juliette Binoche,Sony Pictures Classics
Lake of Fire,2007,Unrated,152,_Documentary,Tony Kaye,NA,Noam Chomsky,thinkfilm
Red Army,2014,PG,76,_Documentary,Gabe Polsky,NA,Vyacheslav Fetisov,Sony Pictures Classics
The Post,2017,PG-13,116,_Thriller,Steven Spielberg,NA,_Alison Brie_Bob Odenkirk_Bradley Whitford_Bruce Greenwood_Carrie Coon_David Cross_Jesse Plemons_Matthew Rhys_Meryl Streep_Michael Stuhlbarg_Sarah Paulson_Tom Hanks_Tracy Letts_Zach Woods,Twentieth Century Fox Film Corporation
The Flat,2012,NotRated,97,_Documentary,Arnon Goldfinger,NA,None,IFC Films
Mulholland Dr.,2001,R,147,_Romance,David Lynch,NA,_Justin Theroux_Laura Harring_Naomi Watts,Universal Pictures
Blind,2015,NotRated,96,_Drama,Eskil Vogt,NA,None,Kimstim Films
The Magdalene Sisters,2003,R,119,_Drama,Peter Mullan,NA,_Anne-Marie Duff_Dorothy Duffy_Eileen Walsh_Nora-Jane Noone,Miramax Films
Tyson,2009,R,90,_Documentary,James Toback,NA,Mike Tyson,Sony Pictures Classics
Leave No Trace,2018,NotRated,108,_Drama,Debra Granik,NA,_Alyssa Lynn_Ayanna Berkshire_Ben Foster_Dale Dickey_Dana Millican_Isaiah Stone_Jeff Kober_Kyle Stoltz_Lane Stiemsma_Michael Draper_Peter James DeLuca_Thomasin McKenzie,
Henry V,1989,PG-13,137,_War,Kenneth Branagh,NA,_Derek Jacobi_Kenneth Branagh,"Samuel Goldwyn Company, The"
Being 17,2016,NotRated,116,_Romance,André Téchiné,NA,None,Strand Releasing
The White Diamond,2005,None,90,_Documentary,Werner Herzog,NA,None,Wellspring Media
Trouble the Water,2008,Unrated,93,_Documentary,_Carl Deal_Tia Lessin,NA,None,Zeitgeist Films
Mustang,2015,NotRated,97,_Drama,Deniz Gamze Ergüven,NA,None,Cohen Media Group
James White,2015,R,85,_Drama,Josh Mond,NA,_Christopher Abbott_Cynthia Nixon_David Call_Makenzie Leigh_Ron Livingston_Scott Mescudi,The Film Arcade
It Follows,2015,R,100,_Horror,David Robert Mitchell,NA,_Bailey Spry_Daniel Zovatto_Jake Weary_Keir Gilchrist_Lili Sepe_Linda Boston_Maika Monroe_Olivia Luccardi_Ruby Harris,RADiUS-TWC
Don't Think Twice,2016,R,92,_Comedy,Mike Birbiglia,NA,_Chris Gethard_Gillian Jacobs_Kate Micucci_Keegan-Michael Key_Mike Birbiglia_Tami Sagher,The Film Arcade
The Happiest Day in the Life of Olli Mäki,2017,NotRated,92,_Romance,Juho Kuosmanen,NA,None,MUBI
Sweeney Todd: The Demon Barber of Fleet Street,2007,R,116,_Musical,Tim Burton,NA,_Alan Rickman_Helena Bonham Carter_Johnny Depp,DreamWorks SKG
Court,2015,NotRated,116,_Drama,Chaitanya Tamhane,NA,None,Zeitgeist Films
"20,000 Days on Earth",2014,NotRated,97,_Documentary,_Iain Forsyth_Jane Pollard,NA,_Arthur Cave_Blixa Bargeld_Darian Leader_Earl Cave_Kylie Minogue_Nick Cave_Ray Winstone_Susie Bick_Warren Ellis,Drafthouse Films
The Woman Who Left,2017,NotRated,226,_Drama,Lav Diaz,NA,_Charo Santos-Concio_John Lloyd Cruz_Kakai Bautista_Lao Rodriguez_Mae Paner_Marjorie Lorico_Mayen Estanero_Michael De Mesa_Noni Buencamino_Shamaine Buencamino,Kino Lorber
Election,1999,R,103,_Romance,Alexander Payne,NA,_Matthew Broderick_Reese Witherspoon,Paramount Pictures
